daily_income,daily_expense,goal_type,goal_amount,daily_saving_capacity,recommended_daily_saving,months_to_reach_goal,profile_type
484,391,Education,215094,93.0,36.74,70.74,urban
391,113,Marriage,706350,278.0,131.47,78.04,urban
1045,886,Bike,73225,159.0,67.68,15.26,urban
2880,843,Education,178173,2037.0,862.77,3.09,student
370,203,Emergency Fund,135017,167.0,69.5,29.64,urban
457,274,House Downpayment,634235,183.0,73.05,110.25,rural
382,206,Emergency Fund,59708,176.0,70.92,11.33,urban
1943,1147,Education,367974,796.0,335.43,16.17,urban
352,138,Gold,227554,214.0,89.28,36.15,student
596,340,House Downpayment,613018,256.0,93.43,84.71,student
1680,637,Gold,136708,1043.0,439.2,4.56,student
885,550,Emergency Fund,70077,335.0,148.79,7.09,rural
1905,1369,House Downpayment,1298156,536.0,256.24,83.75,student
881,389,Bike,137259,492.0,197.14,9.97,rural
2632,1495,Bike,145591,1137.0,467.3,4.09,student
2696,291,Marriage,499862,2405.0,1033.25,6.47,urban
674,312,Gold,134989,362.0,133.98,11.28,urban
493,134,Marriage,653369,359.0,169.2,58.23,student
1157,853,Marriage,595624,304.0,134.32,63.34,rural
2117,734,House Downpayment,977969,1383.0,533.37,23.29,rural
2221,1121,Education,433859,1100.0,523.37,12.24,urban
2110,733,Gold,234289,1377.0,617.35,5.13,urban
583,118,Education,288621,465.0,184.69,19.84,urban
531,133,Gold,258849,398.0,164.42,21.68,rural
1549,604,Marriage,649230,945.0,303.97,24.79,rural
1603,1332,Bike,117390,271.0,100.01,14.98,urban
344,209,House Downpayment,1272665,135.0,53.9,288.1,rural
1077,753,Emergency Fund,138045,324.0,129.22,13.38,urban
754,173,House Downpayment,718524,581.0,208.03,40.8,urban
590,263,House Downpayment,559183,327.0,132.09,62.45,rural
301,101,Gold,223714,200.0,73.83,39.36,rural
563,158,Marriage,212498,405.0,139.64,18.96,rural
481,309,Bike,66297,172.0,69.79,13.64,urban
1531,690,Marriage,493690,841.0,299.26,20.17,rural
1053,803,Gold,218701,250.0,83.82,29.67,student
317,227,Gold,53850,90.0,39.53,20.97,rural
983,184,Gold,241569,799.0,325.15,11.02,student
1492,503,House Downpayment,882565,989.0,401.85,30.57,rural
495,325,Bike,60732,170.0,66.86,10.73,rural
2996,1602,Emergency Fund,118533,1394.0,462.73,2.58,rural
1287,875,Education,125024,412.0,144.96,9.33,student
407,222,House Downpayment,776063,185.0,63.28,128.25,rural
519,106,Emergency Fund,134516,413.0,139.16,11.68,student
473,251,Emergency Fund,69367,222.0,100.31,10.54,student
753,302,Emergency Fund,126143,451.0,158.87,9.37,rural
1308,588,Gold,225267,720.0,296.07,9.69,rural
780,223,Emergency Fund,125932,557.0,253.52,7.69,student
2204,1150,Marriage,503948,1054.0,462.29,17.43,student
2357,1108,Emergency Fund,32220,1249.0,530.79,0.78,urban
1577,467,House Downpayment,552839,1110.0,509.31,15.63,rural
541,414,Education,198919,127.0,48.34,52.7,rural
954,522,Marriage,740728,432.0,154.31,55.57,rural
309,227,Bike,89948,82.0,34.37,38.19,urban
478,241,Gold,165732,237.0,100.74,20.99,student
1428,1221,Emergency Fund,144608,207.0,75.84,24.25,urban
2470,763,Gold,66614,1707.0,591.23,1.27,rural
832,699,House Downpayment,1132619,133.0,60.61,277.84,student
863,224,Emergency Fund,146437,639.0,217.03,7.73,student
536,319,House Downpayment,1092146,217.0,95.35,161.24,student
886,774,House Downpayment,1553458,112.0,50.59,490.92,rural
1126,606,House Downpayment,1083598,520.0,232.66,64.68,urban
523,190,Bike,102265,333.0,135.92,10.98,urban
904,748,Emergency Fund,21482,156.0,69.92,4.58,rural
2755,1241,Emergency Fund,105094,1514.0,720.75,2.23,rural
2125,1630,Gold,239802,495.0,171.88,14.72,rural
1419,253,Education,196867,1166.0,547.04,5.43,rural
2356,1484,Emergency Fund,31753,872.0,339.95,1.31,urban
1159,661,Education,460389,498.0,166.29,29.49,student
2707,949,Marriage,776038,1758.0,670.21,14.46,student
411,175,Education,420873,236.0,86.98,60.24,rural
373,300,Gold,94404,73.0,31.21,45.16,rural
1704,736,Gold,78350,968.0,374.21,2.51,student
743,295,Education,360720,448.0,193.04,26.02,student
1401,852,House Downpayment,1733605,549.0,249.11,114.2,urban
2338,1118,Education,239141,1220.0,505.49,6.63,student
592,422,Education,115358,170.0,65.93,23.67,urban
329,243,Marriage,794220,86.0,28.47,300.3,rural
693,391,Gold,107881,302.0,134.44,11.43,student
342,271,Gold,121149,71.0,23.83,57.51,rural
1664,1330,Gold,250706,334.0,121.77,25.34,urban
2443,835,Emergency Fund,39899,1608.0,538.67,0.83,urban
823,203,Gold,289553,620.0,235.5,16.25,urban
412,326,Marriage,251680,86.0,38.82,105.99,rural
2645,586,Emergency Fund,62651,2059.0,832.6,0.93,student
1202,809,Gold,81904,393.0,154.43,7.47,urban
1221,593,Marriage,201675,628.0,230.99,11.28,urban
363,149,Emergency Fund,111183,214.0,83.5,17.38,urban
457,352,Bike,124299,105.0,43.8,42.45,student
2313,646,Emergency Fund,22632,1667.0,577.79,0.43,urban
573,158,Marriage,738281,415.0,148.66,57.89,urban
306,118,Marriage,293824,188.0,75.58,55.19,rural
509,134,Bike,62297,375.0,139.84,5.55,urban
2404,2129,Emergency Fund,140986,275.0,113.86,17.52,urban
1305,906,Education,409371,399.0,183.54,35.77,rural
1438,392,Emergency Fund,97193,1046.0,445.64,3.33,student
1732,993,Education,383053,739.0,304.32,16.75,urban
2024,547,House Downpayment,1293651,1477.0,698.3,29.98,student
1372,999,Education,326689,373.0,134.01,30.15,rural
1250,610,Gold,206208,640.0,299.12,11.57,urban
827,727,Education,439273,100.0,40.62,157.52,student
967,603,Gold,210878,364.0,156.85,18.56,urban
999,213,House Downpayment,625825,786.0,321.97,26.97,urban
375,219,Education,104865,156.0,56.33,23.05,urban
547,319,Emergency Fund,121232,228.0,78.77,17.39,urban
324,195,Marriage,579832,129.0,51.98,139.92,urban
321,251,Marriage,782627,70.0,31.74,390.28,student
2236,947,House Downpayment,1823698,1289.0,557.88,49.94,urban
1979,1319,House Downpayment,1265075,660.0,228.2,58.21,urban
796,537,Education,466770,259.0,95.65,54.09,student
743,411,Gold,129117,332.0,128.4,12.22,urban
389,160,Gold,171438,229.0,79.67,23.42,rural
1327,727,Gold,98319,600.0,253.65,5.66,student
730,231,Bike,95595,499.0,211.14,6.17,student
654,474,House Downpayment,781267,180.0,74.94,152.46,rural
1912,876,Gold,236029,1036.0,335.72,7.25,urban
1041,718,Marriage,553943,323.0,146.03,55.72,rural
1166,365,Gold,110819,801.0,286.42,4.41,rural
1499,366,Emergency Fund,55839,1133.0,448.01,1.6,student
944,586,Education,367359,358.0,145.44,35.58,rural
356,284,Marriage,549804,72.0,29.92,256.8,rural
627,549,Emergency Fund,135844,78.0,31.28,52.96,student
1077,344,Marriage,322575,733.0,272.7,15.96,urban
2175,1251,Gold,144321,924.0,425.95,5.05,student
1180,682,Marriage,751987,498.0,185.2,52.69,student
1241,692,Education,408469,549.0,219.58,24.02,student
923,224,Bike,82057,699.0,272.4,3.82,rural
595,266,Bike,87634,329.0,136.66,8.19,urban
1652,1334,House Downpayment,1587970,318.0,110.63,172.48,rural
1147,753,Education,341612,394.0,153.3,26.29,urban
392,122,House Downpayment,1030144,270.0,110.96,134.99,student
593,395,Bike,94107,198.0,79.45,15.44,rural
452,160,Emergency Fund,51091,292.0,105.92,5.41,urban
2929,1674,Gold,256385,1255.0,551.32,6.13,rural
2678,1063,Marriage,287108,1615.0,626.68,6.27,rural
355,200,Emergency Fund,123015,155.0,63.77,24.94,rural
929,193,Bike,69084,736.0,253.88,2.84,rural
508,242,Gold,96462,266.0,97.48,11.03,urban
1319,743,Education,305321,576.0,228.24,16.3,student
1515,1180,House Downpayment,1850231,335.0,149.6,193.67,student
1508,1027,Gold,61680,481.0,226.57,4.48,rural
991,666,Gold,113174,325.0,118.18,10.69,student
1697,1298,Bike,50510,399.0,141.88,4.32,urban
1676,187,Gold,204180,1489.0,682.09,4.94,rural
940,358,Education,180805,582.0,213.71,11.0,urban
612,114,Education,488314,498.0,222.58,29.68,student
837,675,Emergency Fund,49908,162.0,63.37,9.73,urban
2973,291,Gold,68815,2682.0,1011.16,0.79,urban
351,142,Gold,222531,209.0,99.08,37.09,student
486,257,Marriage,367014,229.0,87.38,58.53,rural
2783,764,Gold,85400,2019.0,760.9,1.48,urban
2921,2044,Bike,126248,877.0,392.13,4.6,urban
585,389,Marriage,366634,196.0,89.15,66.31,urban
653,110,Bike,56168,543.0,255.67,3.57,student
1752,475,Emergency Fund,53196,1277.0,583.46,1.26,urban
2190,796,Gold,188339,1394.0,640.97,4.9,rural
395,283,Education,469022,112.0,46.87,127.63,student
568,100,Gold,197145,468.0,176.74,13.06,student
2476,986,Emergency Fund,29550,1490.0,713.0,0.67,rural
2545,1999,Marriage,419442,546.0,214.66,26.41,rural
367,313,Emergency Fund,99779,54.0,19.95,60.92,urban
1739,827,House Downpayment,1089291,912.0,379.79,42.48,rural
336,215,House Downpayment,1886336,121.0,40.23,477.98,rural
2324,1267,Education,422095,1057.0,397.58,14.43,rural
516,377,Education,190394,139.0,47.09,48.07,urban
841,484,Emergency Fund,67226,357.0,132.29,6.54,urban
1394,1084,Emergency Fund,123666,310.0,106.6,14.41,student
1061,245,Bike,145853,816.0,381.96,5.55,student
2103,1337,House Downpayment,939685,766.0,270.24,41.28,urban
474,154,Education,289949,320.0,127.14,30.5,urban
460,391,Marriage,619249,69.0,22.98,303.24,rural
2436,503,Emergency Fund,139531,1933.0,633.74,2.28,rural
527,229,House Downpayment,1201757,298.0,134.94,131.43,urban
1099,376,Education,439737,723.0,266.41,19.64,student
2873,2025,Education,199764,848.0,276.25,8.07,student
331,243,House Downpayment,503393,88.0,39.34,202.21,student
2031,1664,Bike,84402,367.0,136.66,8.03,student
375,247,Gold,97092,128.0,60.17,25.95,student
2144,957,Emergency Fund,54261,1187.0,502.62,1.54,student
2194,1146,Bike,73831,1048.0,412.53,2.41,student
357,229,Gold,143658,128.0,56.64,34.46,urban
784,446,Gold,41044,338.0,157.61,4.13,rural
982,652,Marriage,615724,330.0,113.2,60.81,urban
1124,676,Education,412553,448.0,180.73,28.34,rural
2643,1140,Bike,107188,1503.0,590.15,2.34,urban
431,106,Gold,177426,325.0,105.77,19.48,rural
1692,264,Bike,146516,1428.0,576.94,3.13,student
1299,389,Marriage,245205,910.0,358.81,8.78,rural
517,381,Emergency Fund,103092,136.0,52.47,25.99,rural
470,382,Education,243752,88.0,36.31,100.63,student
1763,130,Marriage,463938,1633.0,731.15,10.11,urban
495,195,Gold,134484,300.0,109.78,16.31,urban
846,295,Marriage,232911,551.0,229.37,13.24,rural
1657,148,Bike,149459,1509.0,577.64,3.17,rural
865,153,House Downpayment,1986321,712.0,236.19,97.71,student
327,274,Gold,193973,53.0,22.87,127.97,student
2887,1730,House Downpayment,579104,1157.0,537.22,16.86,urban
1849,866,Marriage,577043,983.0,457.84,17.63,urban
976,645,Emergency Fund,113140,331.0,125.01,11.21,rural
1445,547,Bike,128560,898.0,407.05,5.2,rural
554,270,Gold,55198,284.0,132.31,6.01,urban
409,248,House Downpayment,1991986,161.0,76.08,416.28,student
337,112,Marriage,680042,225.0,77.13,93.72,urban
2602,811,Emergency Fund,73311,1791.0,601.3,1.23,student
2986,2079,House Downpayment,797294,907.0,414.74,26.83,rural
559,293,House Downpayment,811708,266.0,122.41,102.14,student
2748,799,Marriage,368871,1949.0,919.75,5.72,rural
2761,283,Bike,141930,2478.0,962.34,1.72,urban
1757,411,Emergency Fund,73534,1346.0,435.43,1.65,rural
574,331,Gold,111181,243.0,103.26,14.64,rural
1632,1212,Gold,194595,420.0,166.17,15.91,rural
2100,1209,Bike,85887,891.0,389.06,2.93,student
1016,760,Education,410769,256.0,109.9,54.19,rural
377,172,House Downpayment,787358,205.0,68.62,121.57,urban
950,651,Marriage,318940,299.0,108.75,35.18,urban
939,823,Gold,222473,116.0,44.98,67.76,rural
2705,1947,Bike,143296,758.0,271.88,6.71,student
1505,428,Education,164872,1077.0,370.11,4.64,student
575,267,Emergency Fund,108755,308.0,101.15,12.05,student
1834,1410,House Downpayment,979110,424.0,181.96,74.66,student
2603,1424,Gold,93076,1179.0,514.98,2.78,rural
2478,2031,Marriage,514429,447.0,177.71,36.53,student
983,549,Bike,147691,434.0,197.29,11.31,student
1043,715,Marriage,707727,328.0,126.11,64.95,rural
533,440,Gold,165442,93.0,34.46,63.87,rural
959,426,Emergency Fund,82858,533.0,200.82,5.16,urban
1301,881,House Downpayment,1948681,420.0,170.03,169.03,urban
1381,859,Marriage,789763,522.0,208.64,49.07,urban
530,261,Bike,148017,269.0,104.01,16.79,urban
2596,869,Bike,127546,1727.0,715.36,2.24,urban
342,167,Bike,100888,175.0,64.98,20.57,urban
750,433,Bike,61939,317.0,113.15,5.87,rural
488,435,Marriage,662320,53.0,17.57,405.82,rural
1588,587,Bike,54619,1001.0,452.57,1.83,student
2050,314,Bike,137646,1736.0,703.25,2.68,rural
1091,794,Marriage,478892,297.0,107.4,49.47,urban
1842,1423,Emergency Fund,46692,419.0,149.79,3.35,student
655,313,Bike,139293,342.0,155.98,13.52,student
1424,816,House Downpayment,1346067,608.0,271.43,74.89,urban
2400,1288,Education,494121,1112.0,389.9,15.51,urban
352,189,Bike,77822,163.0,72.9,17.16,student
2427,1531,Education,498605,896.0,307.93,17.86,urban
2889,1775,Emergency Fund,39902,1114.0,511.8,1.1,student
2717,651,Emergency Fund,61558,2066.0,665.06,0.9,rural
1350,567,Marriage,548706,783.0,313.35,25.26,urban
1106,948,Bike,125260,158.0,51.18,24.41,rural
1557,1178,House Downpayment,582940,379.0,159.29,48.7,student
473,293,Gold,266229,180.0,78.86,51.24,rural
1297,165,House Downpayment,1150693,1132.0,531.8,37.01,student
1966,933,Bike,102007,1033.0,368.29,3.43,student
424,290,Education,335420,134.0,47.74,90.68,student
776,111,Emergency Fund,137212,665.0,227.09,6.63,rural
421,250,Gold,261043,171.0,75.08,50.81,student
1308,1003,House Downpayment,1265519,305.0,117.28,138.16,urban
417,100,Marriage,606554,317.0,134.77,65.23,urban
2895,1072,Emergency Fund,77518,1823.0,799.65,1.35,student
1026,628,House Downpayment,1139263,398.0,190.04,93.28,urban
402,340,Education,458765,62.0,22.87,246.32,rural
449,176,Education,308004,273.0,124.48,34.65,student
2884,2225,Education,430344,659.0,240.59,21.62,rural
2998,1582,House Downpayment,674100,1416.0,599.63,17.14,student
371,234,Bike,97418,137.0,57.83,23.3,student
2402,762,Marriage,574327,1640.0,650.7,10.88,student
2521,776,Emergency Fund,28756,1745.0,730.08,0.56,rural
682,423,House Downpayment,1539942,259.0,83.69,207.8,rural
1186,923,Marriage,624174,263.0,105.99,72.57,rural
2312,1060,Gold,234774,1252.0,566.42,6.43,student
574,125,House Downpayment,1871916,449.0,177.28,143.1,rural
768,193,Marriage,214342,575.0,254.57,12.72,student
2080,1282,Education,455166,798.0,283.7,17.4,student
1975,1201,Marriage,782343,774.0,254.75,31.88,urban
1466,270,Gold,68554,1196.0,534.36,2.02,urban
2602,1066,Bike,80783,1536.0,612.92,1.86,urban
1777,1538,Emergency Fund,126455,239.0,97.7,17.27,urban
325,227,Education,413724,98.0,45.38,134.55,student
2403,1908,Emergency Fund,106634,495.0,170.33,6.82,rural
587,329,Marriage,463321,258.0,92.41,62.19,student
2425,367,Education,226775,2058.0,838.48,3.34,student
596,219,Education,237321,377.0,160.47,18.93,rural
1861,918,Bike,79817,943.0,400.59,2.6,urban
2156,1921,House Downpayment,1341544,235.0,84.19,179.93,urban
1899,108,House Downpayment,1423471,1791.0,696.46,23.91,rural
632,552,Emergency Fund,117766,80.0,28.19,53.04,urban
334,191,Gold,68184,143.0,59.54,16.56,rural
1053,678,Emergency Fund,57957,375.0,163.19,4.68,student
1482,692,Education,496129,790.0,338.11,19.16,urban
2374,1181,House Downpayment,929776,1193.0,477.69,25.13,rural
399,255,Gold,215503,144.0,66.63,53.38,urban
767,623,House Downpayment,892513,144.0,56.07,193.65,rural
2526,426,Education,420430,2100.0,950.99,6.31,student
318,164,House Downpayment,831553,154.0,54.48,186.37,rural
2118,768,Education,394875,1350.0,551.54,10.21,rural
749,293,Bike,126148,456.0,199.91,9.72,urban
2347,1675,Emergency Fund,89041,672.0,317.1,4.0,rural
968,507,Gold,153459,461.0,185.06,12.03,student
2257,321,House Downpayment,909949,1936.0,664.43,14.8,rural
853,428,Bike,120088,425.0,187.98,9.88,student
449,251,House Downpayment,1156704,198.0,75.58,207.47,urban
598,413,Education,250230,185.0,67.91,48.44,urban
2047,1810,Emergency Fund,98341,237.0,94.21,13.2,student
1329,316,Emergency Fund,122224,1013.0,349.65,3.86,student
834,499,Education,138621,335.0,125.75,14.07,student
1479,146,Emergency Fund,142340,1333.0,445.23,3.54,urban
595,329,Emergency Fund,69608,266.0,89.69,8.44,rural
333,112,Emergency Fund,95907,221.0,91.79,14.04,rural
306,132,Marriage,290566,174.0,70.1,54.67,urban
543,371,Emergency Fund,42867,172.0,75.84,8.41,rural
2558,1307,Marriage,758191,1251.0,471.4,19.15,rural
320,130,Gold,269568,190.0,64.73,51.22,student
848,634,Education,361487,214.0,88.07,56.31,rural
1320,123,Gold,241925,1197.0,417.3,7.05,rural
508,136,Bike,131997,372.0,139.7,11.35,urban
2019,915,Education,472437,1104.0,502.7,15.52,student
1691,432,Bike,83498,1259.0,445.96,2.08,student
353,251,House Downpayment,718960,102.0,38.15,244.55,urban
849,385,Marriage,378340,464.0,169.48,28.6,student
1813,361,Emergency Fund,107109,1452.0,471.7,2.37,urban
318,254,Marriage,268463,64.0,27.23,136.86,student
753,308,Gold,258362,445.0,187.02,20.52,rural
2218,1320,Bike,93885,898.0,384.96,3.68,student
1658,1095,Emergency Fund,140270,563.0,194.68,8.44,urban
1464,1204,Gold,174387,260.0,109.02,21.73,urban
1622,552,House Downpayment,1674179,1070.0,504.09,57.23,student
2786,1502,Emergency Fund,125042,1284.0,560.99,3.41,rural
982,512,Emergency Fund,29196,470.0,204.32,2.11,urban
2204,116,Gold,217719,2088.0,888.34,3.31,rural
1317,787,Bike,70863,530.0,233.7,4.77,rural
681,206,House Downpayment,1847802,475.0,165.73,128.99,rural
1981,1165,Gold,88407,816.0,303.42,3.91,urban
729,223,Emergency Fund,102881,506.0,173.74,6.31,rural
614,543,Education,223213,71.0,32.33,99.54,student
2455,1877,Marriage,672271,578.0,232.4,38.99,rural
2268,1882,Emergency Fund,26229,386.0,130.27,2.35,urban
2431,1445,Education,154889,986.0,462.9,4.76,urban
1320,686,Marriage,519947,634.0,212.55,27.66,rural
1458,267,House Downpayment,1749518,1191.0,548.52,45.02,urban
2812,1043,House Downpayment,1685420,1769.0,662.19,33.78,student
831,377,Education,418679,454.0,154.58,28.61,urban
2250,1574,Emergency Fund,51339,676.0,282.7,2.63,rural
2723,616,Emergency Fund,63275,2107.0,749.9,1.03,student
2507,2166,Emergency Fund,109501,341.0,124.21,10.91,urban
570,453,Emergency Fund,135936,117.0,54.26,39.63,urban
2503,1279,Bike,52529,1224.0,575.28,1.48,student
1129,162,Marriage,348228,967.0,447.45,11.04,rural
1091,428,Education,367557,663.0,280.11,20.13,student
2651,350,House Downpayment,1235751,2301.0,962.49,18.75,urban
1378,1065,Bike,64328,313.0,144.77,6.47,student
405,156,Bike,135629,249.0,107.89,18.77,urban
1593,683,Emergency Fund,69197,910.0,318.95,2.43,student
307,223,Gold,270754,84.0,29.27,114.88,student
2313,1498,House Downpayment,1598874,815.0,293.01,59.14,rural
1889,687,Emergency Fund,137114,1202.0,500.73,3.95,student
558,133,Education,342835,425.0,202.36,25.97,rural
2239,426,House Downpayment,1321420,1813.0,808.16,23.9,rural
612,378,Education,322625,234.0,110.74,44.52,urban
2573,1765,Education,243622,808.0,368.1,10.1,student
382,309,Gold,245505,73.0,33.04,101.7,urban
2220,1806,Gold,124967,414.0,176.07,9.46,urban
525,355,Emergency Fund,27743,170.0,80.89,5.8,student
987,651,Bike,63503,336.0,128.41,5.83,student
700,528,Bike,133389,172.0,55.63,26.21,urban
1492,141,House Downpayment,717249,1351.0,454.79,16.7,rural
2345,637,Gold,79213,1708.0,639.28,1.58,rural
352,218,Education,475251,134.0,43.49,126.55,student
333,106,Marriage,403742,227.0,106.23,61.82,student
1423,1046,Marriage,223547,377.0,156.36,20.1,rural
1906,531,Gold,56654,1375.0,570.25,1.4,urban
1958,1176,Marriage,540569,782.0,356.29,22.53,rural
868,340,Bike,145842,528.0,216.71,9.05,rural
471,140,Emergency Fund,91110,331.0,147.3,9.28,student
902,583,Bike,147175,319.0,131.82,15.65,urban
727,436,Gold,285756,291.0,126.19,32.06,rural
2075,1243,Marriage,417185,832.0,307.17,16.82,student
939,124,Gold,91085,815.0,281.02,3.8,student
938,495,Education,310173,443.0,143.3,24.56,student
903,114,House Downpayment,1647023,789.0,328.24,73.31,student
1446,779,Education,292216,667.0,282.36,13.46,urban
540,388,House Downpayment,1850616,152.0,48.86,406.74,urban
406,261,House Downpayment,544061,145.0,48.74,127.26,rural
2271,156,House Downpayment,1089093,2115.0,852.43,15.61,rural
1861,465,Education,441338,1396.0,472.18,11.09,rural
1828,259,Emergency Fund,120686,1569.0,560.72,2.32,urban
2150,1371,Marriage,257326,779.0,300.39,10.63,student
958,646,Gold,176807,312.0,141.92,17.6,rural
564,264,Emergency Fund,43892,300.0,107.53,5.1,student
2071,1470,Education,416098,601.0,220.33,22.51,urban
932,701,Bike,120022,231.0,102.47,17.99,rural
481,331,Gold,254909,150.0,64.5,58.15,rural
761,491,Emergency Fund,145370,270.0,86.79,17.31,urban
494,200,Education,307282,294.0,99.3,34.66,student
544,455,Emergency Fund,60439,89.0,29.37,22.17,rural
1982,1153,Education,214588,829.0,363.09,8.95,student
2354,388,Bike,123891,1966.0,724.23,1.99,urban
974,274,Emergency Fund,25492,700.0,334.7,1.19,urban
1475,156,House Downpayment,1125189,1319.0,532.86,26.59,rural
447,263,Marriage,497318,184.0,77.52,90.66,student
379,221,Gold,252065,158.0,56.75,51.08,student
445,369,Gold,218939,76.0,25.06,105.18,rural
2160,159,Gold,91729,2001.0,855.78,1.53,student
1554,249,Gold,216141,1305.0,467.62,5.09,rural
459,385,Education,156593,74.0,31.4,64.22,student
470,109,Bike,116192,361.0,141.12,11.19,urban
329,266,Education,176129,63.0,26.23,99.27,rural
535,399,Gold,119114,136.0,51.32,31.72,student
2258,1560,Education,348499,698.0,251.64,16.84,rural
1621,444,Bike,144552,1177.0,519.85,3.82,urban
2690,1227,Marriage,680168,1463.0,614.2,14.72,rural
333,152,Bike,122424,181.0,58.82,24.72,rural
1148,857,Emergency Fund,92619,291.0,97.48,10.96,rural
300,165,Bike,79490,135.0,58.64,20.98,rural
1438,493,Emergency Fund,43495,945.0,332.18,1.55,urban
438,109,Gold,58530,329.0,149.82,6.39,student
1682,1353,Marriage,771877,329.0,149.3,78.38,urban
546,247,Marriage,572514,299.0,124.91,59.6,urban
2399,712,Marriage,642042,1687.0,663.87,11.81,student
1649,1481,Education,318620,168.0,67.5,61.6,student
545,371,Bike,58325,174.0,77.57,12.1,urban
2444,790,House Downpayment,1405355,1654.0,675.13,28.53,urban
323,259,Gold,130888,64.0,22.44,74.16,rural
463,395,Marriage,311994,68.0,25.97,164.75,urban
1153,906,Emergency Fund,71614,247.0,85.82,9.83,student
1212,687,Gold,271479,525.0,237.76,15.96,urban
2300,1817,House Downpayment,755221,483.0,162.94,56.44,student
2951,1411,Bike,114333,1540.0,494.09,2.57,rural
1384,1216,Gold,132925,168.0,73.17,28.68,urban
1194,679,Bike,103121,515.0,213.97,6.84,urban
2836,750,Education,336613,2086.0,803.37,5.1,rural
1449,1062,House Downpayment,675318,387.0,144.62,56.43,student
1534,252,Marriage,206786,1282.0,411.17,5.48,urban
377,267,Bike,114483,110.0,50.49,38.09,rural
2400,375,Emergency Fund,85906,2025.0,838.9,1.49,urban
610,137,Education,274403,473.0,197.12,19.78,rural
2370,2122,Bike,56174,248.0,95.7,6.85,student
1049,628,Education,492214,421.0,147.04,38.41,student
534,349,Education,265786,185.0,70.0,51.17,urban
2605,1187,Gold,271149,1418.0,597.44,6.78,urban
1555,1149,Emergency Fund,91111,406.0,138.78,8.18,student
1664,246,Emergency Fund,71373,1418.0,467.61,1.76,urban
534,218,House Downpayment,976296,316.0,101.49,112.45,student
2114,1348,Emergency Fund,50336,766.0,320.37,2.06,urban
467,165,House Downpayment,776072,302.0,130.47,86.54,urban
363,170,House Downpayment,1702653,193.0,83.53,274.09,urban
1859,752,Gold,101968,1107.0,485.25,3.1,rural
901,435,House Downpayment,551836,466.0,179.45,42.35,student
461,299,Gold,150178,162.0,70.42,27.91,rural
379,185,Education,208904,194.0,73.48,38.13,urban
1263,950,House Downpayment,1418222,313.0,118.31,159.5,urban
1419,317,Marriage,264184,1102.0,448.84,8.36,urban
1326,231,Marriage,320134,1095.0,375.1,9.11,rural
2424,335,Education,411777,2089.0,844.58,6.89,rural
468,407,House Downpayment,1245820,61.0,23.92,739.0,urban
1942,1372,Gold,298988,570.0,257.1,15.75,rural
1329,535,Gold,145082,794.0,351.05,5.89,student
587,291,Gold,262939,296.0,99.32,32.29,student
2651,1106,Education,373797,1545.0,728.58,7.87,rural
1940,1038,Gold,253401,902.0,418.49,10.02,urban
351,109,House Downpayment,1188964,242.0,92.99,159.37,rural
1147,795,Bike,142860,352.0,141.34,13.08,urban
1199,339,Emergency Fund,103606,860.0,290.28,4.15,student
1250,998,Gold,234885,252.0,114.39,30.38,urban
