daily_income,income_stability,goal_type,goal_amount,daily_expense,profile_type,months_to_reach_goal,recommended_daily_saving,discipline_score
826.56,0.96,House Downpayment,1315962,93,urban,59.8,293.42,100
1470.6,0.95,Bike,65843,131,urban,1.64,535.84,100
1490.28,0.66,House Downpayment,714848,131,urban,17.53,543.71,72
206.1,0.9,Marriage,428367,143,student,226.29,25.24,33
271.17,0.69,Marriage,575989,155,rural,165.27,46.47,35
463.68,0.84,Education,165998,106,rural,15.47,143.07,77
350.17,0.97,Bike,114450,156,student,19.65,77.67,64
1042.95,0.85,Education,139724,161,urban,5.28,352.78,86
266.56,0.98,House Downpayment,927513,141,student,246.23,50.22,55
447.04,0.88,Marriage,552709,108,rural,54.34,135.62,80
449.45,0.89,Marriage,779713,153,rural,87.67,118.58,70
2025.64,0.89,Marriage,301705,145,urban,5.35,752.26,99
578.16,0.99,Bike,126427,79,rural,8.44,199.66,100
334.18,0.77,Marriage,766391,122,rural,120.4,84.87,58
247.38,0.93,Bike,76622,120,student,20.05,50.95,57
197.58,0.89,Education,174837,140,student,101.21,23.03,31
2828.43,0.99,Bike,59787,127,urban,0.74,1080.57,100
558.6,0.84,Education,193752,134,rural,15.21,169.84,76
313.28,0.88,Gold,98502,157,rural,21.01,62.51,52
233.18,0.89,Gold,195446,120,student,57.56,45.27,51
162.68,0.83,Education,328525,175,student,,,5
1784.36,0.62,Marriage,239643,139,urban,4.85,658.14,68
1015.56,0.62,House Downpayment,508334,131,urban,19.16,353.82,64
1096.2,0.6,House Downpayment,877818,83,urban,28.88,405.28,66
693.31,0.89,Bike,53142,148,rural,3.25,218.12,84
2161.25,0.91,House Downpayment,633716,146,urban,10.48,806.1,100
1197.76,0.76,House Downpayment,1828224,142,urban,57.72,422.3,80
194.22,0.78,Gold,264108,175,student,458.04,7.69,9
198.55,0.95,Marriage,767143,132,student,384.24,26.62,38
562.32,0.72,House Downpayment,1451141,93,rural,103.07,187.73,72
255.3,0.74,House Downpayment,1633481,101,rural,352.88,61.72,53
173.44,0.64,Education,410284,139,student,397.1,13.78,15
277.1,0.85,Gold,41510,151,student,10.97,50.44,46
2319.85,0.83,Education,177636,159,urban,2.74,864.34,92
273.24,0.66,Emergency Fund,50733,130,student,11.81,57.3,41
1679.46,0.69,Education,158209,136,urban,3.42,617.38,76
1124.07,0.89,Gold,248010,125,urban,8.27,399.63,94
413.91,0.81,Bike,110208,81,rural,11.03,133.16,78
456.32,0.64,Gold,198930,152,rural,21.79,121.73,51
79.2,0.72,Emergency Fund,22023,126,student,,,5
719.95,0.77,Gold,88175,127,urban,4.96,237.18,76
171.99,0.91,House Downpayment,926491,134,student,812.93,15.2,24
358.2,0.9,Marriage,525982,133,rural,77.85,90.08,67
623.2,0.76,Emergency Fund,32158,104,urban,2.06,207.68,75
1160.94,0.66,Bike,92609,130,urban,2.99,412.38,70
525.91,0.77,Bike,132099,148,rural,11.65,151.16,66
475.2,0.9,Gold,120110,100,rural,10.67,150.08,85
682.64,0.92,Gold,57020,166,rural,3.68,206.66,83
396.88,0.82,Emergency Fund,107632,116,rural,12.77,112.35,69
764.0,1.0,Marriage,511240,124,rural,26.63,256.0,100
441.75,0.93,Marriage,742090,122,rural,77.36,127.9,80
161.5,0.95,House Downpayment,1148494,198,student,,,5
2079.95,0.85,Education,273449,141,urban,4.7,775.58,95
2172.94,0.83,Marriage,264681,155,urban,4.37,807.18,92
298.48,0.91,Education,318971,100,student,53.57,79.39,72
221.92,0.76,Bike,147572,168,student,91.23,21.57,22
202.96,0.86,Education,438468,95,student,135.38,43.18,54
283.59,0.69,Education,378805,105,student,70.7,71.44,52
235.17,0.67,Marriage,252863,139,student,87.64,38.47,32
984.9,0.67,Bike,95658,118,urban,3.68,346.76,70
227.7,0.66,House Downpayment,902860,77,student,199.7,60.28,52
276.94,0.61,Gold,226103,103,rural,43.33,69.58,45
506.66,0.77,Education,169730,142,rural,15.51,145.86,66
1350.8,0.88,Marriage,666453,102,urban,17.79,499.52,97
531.44,0.91,Emergency Fund,42208,145,rural,3.64,154.58,79
209.52,0.97,Emergency Fund,104186,142,student,51.43,27.01,37
152.25,0.75,House Downpayment,1852781,106,student,1335.34,18.5,27
280.28,0.77,Marriage,712921,122,student,150.14,63.31,52
1944.9,0.9,Marriage,685654,167,urban,12.86,711.16,98
2418.3,0.9,Marriage,474546,117,urban,6.87,920.52,100
577.49,0.79,Gold,105306,123,rural,7.72,181.8,74
84.32,0.62,Education,344581,115,student,,,5
1219.68,0.77,Emergency Fund,146026,111,urban,4.39,443.47,83
388.55,0.95,Gold,155794,151,rural,21.86,95.02,69
1184.82,0.98,Marriage,288760,132,urban,9.14,421.13,100
196.62,0.87,Marriage,766334,137,student,428.45,23.85,31
1370.88,0.64,Education,337068,121,urban,8.99,499.95,70
602.37,0.97,Gold,246924,145,rural,18.0,182.95,88
1309.06,0.74,House Downpayment,1872226,174,urban,54.98,454.02,76
207.92,0.92,Emergency Fund,73540,129,student,31.06,31.57,41
1600.22,0.89,House Downpayment,1826846,123,urban,41.22,590.89,98
226.85,0.65,Bike,97231,121,rural,30.62,42.34,36
368.48,0.98,Bike,99165,129,student,13.8,95.79,76
1899.2,0.8,Gold,150546,123,urban,2.83,710.48,89
249.3,0.9,Emergency Fund,71303,165,student,28.19,33.72,36
708.21,0.61,House Downpayment,1808289,153,urban,108.56,222.08,57
1115.25,0.75,Emergency Fund,35900,109,urban,1.19,402.5,81
1353.6,0.94,Gold,273262,112,urban,7.34,496.64,100
1067.58,0.81,Gold,94630,120,urban,3.33,379.03,86
66.3,0.65,Emergency Fund,60017,163,student,,,5
373.92,0.76,Gold,56082,138,student,7.92,94.37,57
571.2,0.8,Gold,184373,157,rural,14.84,165.68,69
350.73,0.81,Bike,93439,67,rural,10.98,113.49,78
453.08,0.94,Education,162491,125,student,16.51,131.23,81
486.09,0.99,Gold,259275,141,student,25.04,138.04,84
151.9,0.98,Emergency Fund,50494,137,student,112.96,5.96,11
473.85,0.81,Bike,144610,151,rural,14.93,129.14,66
1442.39,0.97,House Downpayment,1744577,113,urban,43.74,531.76,100
543.65,0.83,House Downpayment,598074,122,rural,47.28,168.66,77
284.8,0.8,Marriage,312536,162,student,84.84,49.12,41
495.67,0.73,Bike,135743,106,rural,11.61,155.87,68
143.65,0.85,Education,374949,165,student,,,5
92.88,0.86,Education,170640,142,student,,,5
124.32,0.84,Emergency Fund,47485,113,student,139.83,4.53,9
214.11,0.61,Bike,56122,117,rural,19.26,38.84,33
1414.08,0.96,Gold,101086,163,urban,2.69,500.43,100
327.32,0.98,House Downpayment,1955794,190,student,474.75,54.93,49
131.35,0.71,Bike,104227,114,student,200.24,6.94,11
1458.86,0.62,House Downpayment,682259,118,urban,16.96,536.34,68
2048.78,0.89,Marriage,212709,138,urban,3.71,764.31,99
2925.3,0.98,Marriage,364234,184,urban,4.43,1096.52,100
329.28,0.96,Emergency Fund,127820,149,rural,23.63,72.11,63
368.0,0.8,Marriage,719990,137,student,103.89,92.4,60
2388.15,0.87,Gold,176335,157,urban,2.63,892.46,97
374.46,0.79,Marriage,459655,131,rural,62.93,97.38,61
411.68,0.83,House Downpayment,907751,112,student,100.97,119.87,72
440.82,0.79,Bike,58575,190,rural,7.78,100.33,53
177.3,0.9,Gold,92157,145,student,95.11,12.92,19
174.58,0.86,Emergency Fund,70157,99,student,30.94,30.23,44
436.65,0.71,Emergency Fund,149565,99,rural,14.77,135.06,65
376.2,0.99,Education,386967,159,rural,59.39,86.88,68
138.7,0.95,Education,264739,159,student,,,5
570.24,0.81,Education,236086,122,rural,17.56,179.3,76
1898.84,0.74,Emergency Fund,64831,191,urban,1.27,683.14,79
627.3,0.9,Gold,108779,120,rural,7.15,202.92,87
1441.8,0.81,House Downpayment,1937346,121,urban,48.89,528.32,89
2427.92,0.89,Bike,85631,114,urban,1.23,925.57,100
1787.85,0.87,House Downpayment,1396394,136,urban,28.18,660.74,96
848.99,0.73,Bike,106488,151,urban,5.09,279.2,72
1432.8,0.9,Bike,119406,166,urban,3.14,506.72,95
1561.92,0.96,House Downpayment,1316314,158,urban,31.25,561.57,100
1192.28,0.82,Gold,105564,154,urban,3.39,415.31,85
1068.6,0.65,House Downpayment,992285,177,urban,37.1,356.64,65
2624.48,0.94,House Downpayment,1147399,141,urban,15.4,993.39,100
354.46,0.74,Gold,146497,145,student,23.31,83.78,52
212.0,0.8,House Downpayment,1748727,94,student,493.99,47.2,53
248.62,0.62,House Downpayment,1051681,99,student,234.3,59.85,44
1861.8,0.87,Marriage,528995,124,urban,10.15,695.12,97
252.34,0.62,Bike,94471,171,student,38.71,32.54,23
1469.16,0.99,Gold,181401,142,urban,4.56,530.86,100
1964.72,0.82,Bike,62824,156,urban,1.16,723.49,90
717.6,0.8,Gold,250640,142,urban,14.51,230.24,77
248.71,0.77,Marriage,558032,120,rural,144.52,51.48,47
193.92,0.96,Gold,194148,101,student,69.65,37.17,55
161.02,0.97,Education,451511,87,student,203.33,29.61,53
2018.42,0.86,Marriage,321584,147,urban,5.73,748.57,95
226.38,0.98,Bike,110073,108,student,30.99,47.35,61
294.3,0.9,Marriage,414440,119,student,78.81,70.12,64
121.39,0.61,Bike,128081,126,student,,,5
349.18,0.79,Education,343467,159,student,60.2,76.07,51
1507.65,0.69,Emergency Fund,78012,108,urban,1.86,559.86,76
550.08,0.72,Bike,116466,107,rural,8.76,177.23,69
130.68,0.66,Marriage,521796,124,student,2603.77,2.67,5
555.36,0.89,Emergency Fund,66710,143,rural,5.39,164.94,79
173.25,0.99,Education,313567,104,student,150.93,27.7,47
335.16,0.63,Gold,224145,151,rural,40.57,73.66,41
408.6,0.9,Emergency Fund,88861,80,rural,9.01,131.44,86
173.91,0.93,House Downpayment,1274587,127,student,905.7,18.76,30
1491.2,0.64,House Downpayment,1489472,140,urban,36.74,540.48,69
2893.94,0.98,Bike,66784,129,urban,0.81,1105.98,100
1582.08,0.96,Education,470587,167,urban,11.09,566.03,100
445.2,0.84,Marriage,439665,103,rural,42.83,136.88,77
439.66,0.89,Education,357126,124,student,37.71,126.26,76
113.75,0.65,Gold,88887,140,student,,,5
250.75,0.85,Education,386446,131,student,107.57,47.9,48
733.34,0.74,Gold,63576,120,urban,3.46,245.34,74
327.6,0.9,Bike,116166,133,rural,19.9,77.84,64
1007.95,0.95,House Downpayment,1795893,122,urban,67.57,354.38,100
138.6,0.9,Education,484630,86,student,307.12,21.04,40
711.0,0.9,Education,481045,126,rural,27.41,234.0,88
1890.07,0.91,House Downpayment,795116,186,urban,15.55,681.63,98
2275.2,0.9,Gold,55185,104,urban,0.85,868.48,100
1189.38,0.86,Bike,55383,61,urban,1.64,451.35,97
758.88,0.68,Education,453283,156,urban,25.06,241.15,64
2148.8,0.8,Education,193398,135,urban,3.2,805.52,89
619.2,0.8,Emergency Fund,78852,95,rural,5.01,209.68,81
1436.48,0.67,Gold,212126,146,urban,5.48,516.19,72
1534.76,0.74,Marriage,257985,91,urban,5.96,577.5,83
2647.13,0.97,Marriage,595048,126,urban,7.87,1008.45,100
1523.52,0.96,Bike,146956,129,urban,3.51,557.81,100
308.76,0.62,Gold,267962,175,student,66.78,53.5,32
344.25,0.81,Marriage,571429,133,student,90.17,84.5,59
501.48,0.84,Marriage,200082,131,rural,18.0,148.19,74
247.05,0.81,Bike,128784,135,student,38.31,44.82,44
288.0,0.6,Bike,60109,128,student,12.52,64.0,40
1996.17,0.69,Emergency Fund,51536,155,urban,0.93,736.47,76
580.8,0.96,Bike,138445,136,rural,10.38,177.92,88
888.0,0.6,Bike,105059,104,urban,4.47,313.6,63
2158.2,0.99,Gold,106866,133,urban,1.76,810.08,100
119.52,0.72,Bike,104072,162,student,,,5
397.11,0.93,Marriage,290675,153,student,39.69,97.64,68
334.75,0.65,Marriage,237583,153,rural,43.57,72.7,42
596.82,0.87,Emergency Fund,65579,126,rural,4.64,188.33,82
97.02,0.63,House Downpayment,1394742,123,student,,,5
453.75,0.75,Education,124235,145,rural,13.41,123.5,61
2000.7,0.81,Marriage,438753,165,urban,7.97,734.28,89
223.78,0.67,Education,402395,142,student,164.02,32.71,29
190.2,0.6,House Downpayment,1584551,98,student,572.87,36.88,34
277.53,0.87,Education,291852,127,student,64.63,60.21,56
556.1,0.67,House Downpayment,697833,119,urban,53.22,174.84,63
1972.2,0.76,House Downpayment,1397407,155,urban,25.63,726.88,84
1087.48,0.62,House Downpayment,1383971,161,urban,49.79,370.59,63
210.45,0.69,House Downpayment,1912819,133,student,823.25,30.98,30
529.76,0.77,Gold,107263,138,rural,9.13,156.7,68
1314.55,0.61,House Downpayment,522234,140,urban,14.82,469.82,65
1202.67,0.83,Marriage,215159,141,urban,6.76,424.67,87
164.9,0.97,Education,426214,120,student,316.42,17.96,31
159.08,0.82,Marriage,518053,150,student,1901.81,3.63,5
310.61,0.89,Marriage,466485,138,rural,90.08,69.04,59
273.35,0.71,House Downpayment,1327829,150,student,358.82,49.34,38
528.08,0.92,House Downpayment,1519913,171,rural,141.88,142.83,74
2384.91,0.99,House Downpayment,1828693,114,urban,26.84,908.36,100
2529.0,0.9,Bike,100851,183,urban,1.43,938.4,100
582.2,0.82,Bike,79110,156,rural,6.19,170.48,72
281.58,0.78,Bike,94690,105,student,17.87,70.63,58
2495.04,0.96,Bike,79827,105,urban,1.11,956.02,100
398.3,0.7,Bike,61432,144,rural,8.05,101.72,53
397.42,0.62,Marriage,649268,159,rural,90.77,95.37,44
243.18,0.63,House Downpayment,1843726,146,rural,632.41,38.87,30
468.6,0.66,Bike,107792,121,rural,10.34,139.04,58
755.52,0.96,Education,452808,142,rural,24.6,245.41,93
675.84,0.88,Bike,78795,125,rural,4.77,220.34,86
477.12,0.96,Gold,64388,130,student,6.18,138.85,83
800.65,0.67,Bike,143408,123,urban,7.05,271.06,68
776.79,0.63,Education,247875,126,urban,12.7,260.32,63
1028.0,0.8,Education,359295,164,urban,13.86,345.6,80
548.96,0.73,Emergency Fund,65999,158,rural,5.63,156.38,62
257.04,0.68,Emergency Fund,84654,116,student,20.01,56.42,44
1818.9,0.94,Marriage,238987,125,urban,4.7,677.56,100
83.93,0.77,Gold,164440,175,student,,,5
396.72,0.87,Education,400617,116,rural,47.57,112.29,73
425.25,0.63,Education,493122,128,rural,55.3,118.9,52
86.62,0.71,Bike,140943,128,student,,,5
205.8,0.6,House Downpayment,611631,131,student,272.56,29.92,26
336.6,0.6,Marriage,483291,155,rural,88.71,72.64,38
300.3,0.77,Marriage,448563,125,student,85.29,70.12,53
257.04,0.63,Education,161956,117,student,38.55,56.02,41
374.97,0.87,House Downpayment,1714649,126,student,229.57,99.59,69
268.8,0.64,Gold,100222,97,rural,19.45,68.72,49
280.35,0.63,Bike,62701,123,student,13.28,62.94,42
180.88,0.68,Gold,157730,133,student,109.81,19.15,21
412.72,0.88,Bike,53630,122,rural,6.15,116.29,74
178.89,0.67,Marriage,317610,162,student,626.82,6.76,7
256.68,0.69,Bike,131315,145,student,39.19,44.67,36
430.68,0.74,House Downpayment,1326495,137,rural,150.56,117.47,60
381.04,0.88,Education,373389,132,student,49.98,99.62,69
437.4,0.9,Bike,83788,152,rural,9.79,114.16,70
344.7,0.9,House Downpayment,1799584,94,student,239.27,100.28,78
1683.24,0.83,Bike,102363,145,urban,2.22,615.3,91
1205.28,0.72,Education,270840,75,urban,7.99,452.11,81
130.13,0.91,House Downpayment,1878948,127,student,20010.1,1.25,5
561.44,0.88,Marriage,349160,129,rural,26.91,172.98,81
1447.92,0.72,Emergency Fund,102323,126,urban,2.58,528.77,78
305.76,0.78,Gold,271739,171,student,67.22,53.9,41
636.4,0.86,Bike,56457,144,rural,3.82,196.96,79
258.3,0.63,Marriage,216085,164,student,76.38,37.72,27
369.84,0.92,Education,488845,157,rural,76.56,85.14,63
517.96,0.92,Bike,134520,93,rural,10.55,169.98,90
415.1,0.7,Marriage,791829,119,rural,89.14,118.44,59
477.71,0.67,Education,311724,137,rural,30.5,136.28,57
1360.08,0.72,Bike,129435,171,urban,3.63,475.63,75
300.8,0.8,Marriage,386651,117,student,70.12,73.52,58
228.16,0.62,House Downpayment,856499,132,rural,296.9,38.46,31
1255.76,0.88,Emergency Fund,135410,112,urban,3.95,457.5,96
2385.42,0.83,Emergency Fund,135804,158,urban,2.03,890.97,93
983.45,0.65,Bike,107108,128,urban,4.17,342.18,67
248.85,0.63,Bike,107336,130,student,30.1,47.54,36
100.0,0.8,Education,183419,168,student,,,5
304.0,0.76,Marriage,217949,115,student,38.44,75.6,56
394.42,0.82,Education,493264,137,student,63.87,102.97,64
290.58,0.87,Gold,144769,145,rural,33.15,58.23,52
163.53,0.69,Gold,66302,122,student,53.22,16.61,21
865.92,0.64,Marriage,558326,123,urban,25.05,297.17,65
110.88,0.84,Marriage,627543,137,student,,,5
138.16,0.88,Education,328413,117,student,517.35,8.46,16
418.7,0.79,House Downpayment,1841146,166,rural,242.86,101.08,57
442.5,0.75,Gold,291747,122,rural,30.34,128.2,65
292.0,0.8,Emergency Fund,55710,152,student,13.26,56.0,46
664.0,0.8,Emergency Fund,135371,147,urban,8.73,206.8,74
